,Filename,Prompt,Language,Score Level,Text
7664,1174438.txt,P8,KOR,low,"Succesful people try new things and take risks .
Most important of succesful people 's quilities are creative and activity .

Successful people always want to new thing and they are created .
For example , In the korea .
famouse musician Moon Jae Sook , she is traditional korea instument ( Gayagum ) player .
Acually Gayagum is old instrument and the songs are not any more popuation .
So , She was made of new song and she play .
also she play westurn class music by Gayagum .
People surprised the Gayagum 's new sound .

Now , Korea young traditional artist try make a new song .

Secondary , successful people are not only creative , but also they are activity .
They do n't want just thinkig .
If they got a idea , They make it reality .

Third , Successful people has good people .
Recently most of important is relationship .
Varity relation ships are helpful all situation .

So I agree that successful people try new things and take risk .
"
447,79709.txt,P6,ARA,high,"Travelling is one of the most interesting beneficial , eye-opening , horizon-widenning hobbies a person couldn have .
Every time you travel and see a new place you get the chance to meet new people , be introduced to a new culture , and get acqaunted with new habits and tradtions , not to mention the food .

Yet Travelling if not planned properly can end up to be a nightmare .
Lets say you have decided to travel to a far-away country where u know no one , and ca n't speak their language , u have never been there , and have no clue on what to expect .

In this case its better to arrange your trip through a travel agent where she/he hooks you up with their partner in the country you are going to , to take care of you and arrange some guided group tours for you to go around and see the country .

This can be the right choice in many situations .
If you are going to a relatively unsafe country , where its not advised to wonder around alone .
If you are worried that you wont be able to communicate with the people in that country because of the language .
If you are travelling alone with no friends or family , and you want to socialize on your trip , being in group guided tours might be a good chance for you to meet people and have fun while site-seeing .
At the same time u gaurantee to get enough information about the sites you visit on your trip , since the tour guide will be briefing you about each and every place you pass by .

As much as this sounds safe , entertaining , and informative .
I prefer to travel on my own .
Something I got used to and enjoy doing .
I tend to find travelling on your own more interesting , and forces you in a way or another to mingle with the locals , to get more immersed into that culture , and get a better taste of that place you are visiting .
Besides , you would be able to follow your own schedule and go and see places you choose to see and not the tour guide planned for you to see .
It would give you the chance to do some research and reading about that place , before and during your trip .
You will be you own master , your own guide .

Our day to day life is already scheduled and going according to a certain plan , when I go on a holiday or travel , I do that to run away and relax .
On my trip , I do n't need to sleep and wake up , eat or shop , according to someone 's esle plan , not my own desire .
Otherwise I will end up not enjoying my trip while the tour guide ends up making lots of commission from each and every single shop or resteraunt she/he takes the group to , and most of the time they are bad choices .
"
7707,1181311.txt,P3,ZHO,medium,"Is it generally accepted that young people nowadays do not give enough time to helping their communities ?
In my opinion , I totally agree about the statement .
I believe that young people really do n't give enough time to helping their communities .
I will argue the statement for some follwing reasons .

First of all , parents nowadays expect their children can get high education , so children 's activity always studying not communities .
Because the society becomes more and more wealthy , parents have much time to take care of their child for their performing in class .
For example , in order to achieve their expectation of education , parents usually take their child to cram school , that really occupy much time for young people .

Secondly , Because of the developing game producing , young people nowadays usually stay home for playing game not go out to communicate with others .
For instance , It is fashion to play PS2 nowadays , young people in order to get high grades in the game , they have no interest to go out or make more friends , and they even do n't have any time to commuciate with other people .

To sum up , Because of the high educated expectation and the fascinating games , young people nowadays focus on books or games instead of communities .
Therefore , It is my preference that young people do n't give enough time to helping thire comunities nowadays .
And I think that is not a good phenonmenon for the future , so we should find some resolutions to improve this .
"
3616,628917.txt,P3,TEL,high,"According to a recent survey conducted in the colleges of India , maximum number of students have Mother Teresa , who believed `` Service to man kind is service to god '' as their role model .
This very clearly shows what the present day youth feels about their responsibilities in helping others .
The fact that students are organising public marathons like the great Mumbai marathon for social causes , relief funds can serve as clear evidences to refute that statement `` young people nowadays do not give enough time to help their communities '' .

Youth , infact are being creative and finding out new ways of solving the problems of the community .
For example , the idea of selling wrist bands , which have become a style statement , worth rupees ten for twenty five and using the profits for the rehabilitaion of AIDS affected shows the innovation and also the response with which the youth has accepted the idea .
The exposure to international culture , more awareness of the existing problems are driving the youth to think and work towards the solution .
The craving for a better and enriched life for everyone is the logo of many youth unions today .

Although , the present day requires to be more competitive at work place , studies or any field in general , youth have their priorities clear and they do have the schedule planned in which they have fixed time for their social work .
For example , I am an undergraduate student but i have my weekends to work for the organisation CRY , which is an organisation working to abolish child labour in the country .
Though i cannot call this two day work for my society enough , but I believe this definitely is no lesser than what previous generations used to do .

The present day youth is infact taking one step ahead .
There are a good number of students who have taken up social activity as their full time work , as a profession not to make money but only to serve the needy .
I , can strongly say that we , youth are giving our share of work for the society and will continue to do it so in future .
"
11379,1870109.txt,P2,HIN,high,"I completely agree with statment that young people enjoy life more than older people do .
There can be exceptions but in general younger people are tend to enjoy more on account of their high energy levels and will to live life to it 's fullest .

Younger people are more energetic , fit , enthusastic , experimental , sporty in nature and more excited towards events of life they are facing or they are going to face .
On the other hand older people are compratively not much enthusiastic because of ill fitness , lack of energy , lack of will to do things .
Fed up from their problems .
They do not prefer experimentation or adventure .

When I was of age 6 i always wanted my grandfather to run with me , run my bicycle .
He used to refuse and he used to see my enjoyment by riding bicycle .
I used wonder why he is not being part my happiness my enjoyment .
But later I realised I grew up that he was heart patient and could not afford to run and enjoy like i did .
Age , diseases made him weaker and he was refused to do even simple things that he wished to enjoy .
Younge people can do whatever they wish and this is treasure of happiness .
If one wishes to climb the hill one need to think about it .
But this is n't case when it comes to older people .

Energy , fitness anr not the only things .
Willpower is lacking in older people .
I had one professor who used to teach me langauge calles `` Sanskrit '' .
He was always in demand to give lectures , teaching students .
But now he is 88 and `` Sanskrit '' is something he sepnt his life for .
He is very fit for his age .
But still he is not able to teach students and give lectures even at renowed universities because he do not have that same willpower .
He can ot enjoy something he did for his whole life .

Younge people on contrary can go and party late , they can play , they can race , they can climb mountains .
They have willpower to acheive something in life .
They can try their level best with energy and will and can enjoy their success .
Youngsters have broader vies towards society so they can enojoy what they get without any conflict .
I know my borther who parties every night , goes on trekking every alternate sundays , get good marks , gets success out of whatever he wants to do .
But in same home he lives , his grandmother can not enjoy beyond going to temples and to meet some relatives .
Also younger people can take defeat is something which will make them emotionally strong while older take is as failure .
That takes the enjoying of winning away from them .

Confidence , will , energy these are key points of happiness .
And unfortunately olders don not have them compared to younge people .
So i think youngsters enjoy life more than olders do .
"
3743,650286.txt,P8,FRA,medium,"A major physics break through was made when Einstein suggest a brand new theory dealing with relativity .
This innovative vision was a success and Einstein had strong physics basis .
Do we need a real ceasure to succeed in one area or do we need to evolve gently to reach a key point ?

First , let 's explain how seeking excellence can bring us to a success .
For example , the computational fluid dynamics activity needs real mathematics and fluid physics knowledges so a person can then think about a revolutionnary concept .
By focusing on one point , we can try different methods to bypass it .
Working on something wellknown helps thinking about the major issue and not about mathematics ' properties .
People who keep doing well what they know are gathering knowledge , experience so they are recognized by other people for this and often called , needed to explain , show , develop this subject .
Finally , as a third point , shall I mention that taking risks is not really allowed when working on a nuclear plant or when driving a war , as human lives are at stakes .

But , many battles were won by using surprising methods like the horse made of wood during the greek Troyes war .
More over , taking space between a concept and our work can lead us to borrow ideas from other areas , like using mathematics for urban planning optimisation .
And this make the concept work .
However , an other reason of taking risks is that most people have too much fear about risking anything they already have .
So you are distinguishing yourself from others and then appear , when succeeding , as a successfull person .

To summarize , acquiring excellency in one particular field is the first step of a successfull story .
Then , an innovative concept would make the difference between success and daily wotk .
"
2818,488133.txt,P1,ITA,low,"As i have never had the opportunity to study one specific subject , i do n't really know how it is like , but i will try to imagine it the best that i can , comparing its advantages to those of the other alternative .

A student who attend an university course have to do an important choose , he had to decide if specializing in one specific matter or not .

I thinks that specializing in one specific subject is necessary in a lot of camp , for examples for a medic or engineering .
In fact , is impossible to arrive at an high livel of knowledge in many matters .

On the other hand , exsist the risk of a wrong choose about the subject of specialization .
I know many person that have changed the university a lot of time , and this may become very dangerous for the career .

It is also important have a complete view about an argument or a problem , and only a broad knowlodege of many academic subjects allows that .

So , after looking at all these different advantages for both the sides , it is very hard for me to come a conclusion .
I guess the the best solution is to specializing in few subjects .
"
2621,453935.txt,P5,JPN,medium,"When we predict about the future , we can see fewer cars in use than there are today .
Nowadays , we use cars the most of time .
When we go to school , go office , or go store , we take our cars with us ; but the car is not the best way for transportation actually .
There are many problems come up when we take cars .

First of all , there are limited sourses to make cars move .
As we can see on the newspapers , gasoline is running out .
We can make soloer power to make a car moves , but we cannot ride a car when we do not have sunlight , such as winter season .
Or maybe we can find biotic sources , but it will also run out someday .
Although gasoline is the best source for cars , it no longer avellable .

Everytime when we take cars , we make carbon dioxine goes around our city .
In the situation we get terrible traffic jam , we might stay in the same place for a few hours .
This causes grobal warming .
If we continue acting like this , the climate would go up and up , and we are going to die bacause of that someday .

In the future , there are high possibility that we are going to use the better transportations .
When we use cars , we have to drive , worry about traffic , or worry about the expensive cost of gasoline .
Actually taking a car is not fast way to transport .
There are much faster transportations , such as , train or airplane .
Nowadays , the goverment start making the train-station all around the city .
In additon , the cost of taking air plane becomes chaper because they are no more new technology .
These transportations are more convenience than cars .

In our everydaylives , we use cars for transportation for the most of time .
However , in the furute , this will change .
The car is no more convenience tranportation to use .
We are going to use better transportaions to reduce our time for moving and stop polluting the environment .
"
10714,1747868.txt,P5,ZHO,medium,"There is a common opinion that the number of automobile users will reduce in the future twenty years , because of a great deal of problems that using cars brought about .
But people may be regardless of the benefits that we human beings drerived from automobile .

Why do we still need automobile twenty years later ?
The most important characteristic about automobile is coveniece .
Rember there was a time when you drove your kids to schools ?
A time when you drove to the countryside to have a picnic with your friends ?
A time when you drove hurridly for a meeting ?
How can you forget about those pleasent time u spent with your car and how will u be willing to throwing away , even after 20 years time ?
We all need cars to bring us convenice and pleasure .

One point that shold be admitted that , cars bring with them a series of problems , like air pollution , traffic jams , traffic accidents .
In most of the big cities , the large number of car using cause serious air pollution , as a result , many people complain about this situation or even suggest that we should stop make use of cars .

To solve the problem , it can not be dealt with simply by preventing us form using automobiles .
A more effetive way is to improve the automobile condition .
Governments should invest a larger amout of money to make progress on automobile producing , in order to reduce or stop harmful gas emmitting from cars .
This is not the only responsobility for governments or scientist , is for all the human beings on earth .
In this way , the process of using cars can be continued .
We can both get benefits for convenience and fresh air breathing .

To sum up , we will be better off with cares in 20 years .
"
3191,552796.txt,P7,TEL,high,"I do agree with the statement that it is very much important for the students to understand the ideas and concepts rather than to learn facts .
Let 's take a common example of a student listening to a science lecture .
It 's very much important for him to understand what is dealt about before forming an opinion on the topic .
If the lecturer just put the facts infront and ask him to byheart them it wud be of no use .
The student might forget those facts after sometime as that do not create a strong impression in mind .
But rather if he understands the ideas and the concept behind the topic there is a higher chance he can remember that for a longer time .

Another important aspect is that just learning the facts would not lead to the development of the subject .
It 's only when one gets a thourough idea of the complexities involved in that , one would get an idea of how to develop the concepts .
For example let us take a student doing his project work on developing automobile efficiency .
Unless he knows what are the factors involved in developing efficiency he cannot succeed .
It involves the student to learn the ideas and concepts behind the subject apart from learning the facts .
In most of the cases it 's proven that false understanding of a subject would lead to an irrepairable situation .
And knowing the facts without probing into them always leads to a false conclusion .

Secondly probing into the facts and understanding them also helps a student on a personal front .
In one 's daly life one may come across many complex situations , which if one considers only the facts might land oneself into trouble .
Let 's take an example of a student getting angry on his father for not providing him more pocket money .
The father would not give more money as he perhaps feel that his son is involving in illegal activities .
The student should probe why his father 's not giving him the money rather that to blame
"
3764,652753.txt,P5,TUR,medium,"I definitely hope that in 20 years there will be fewer cars being used than today .
Eveyday more and more people take air pollution in to consideration .
People started to use local tansportation vehicles more than before .
As the fuel oil prices increase the personal car use is declining .
On the other hand local and or national transportation is getting more modern with the developing technology .
Access to many different regions is easier than before .
The starting point should be environmental pollution .
If we want to leave a less polluted world to our children to live , may be we can start with our cars .
Here is an idea ; when we are going to work why not driving one car .
Collegues living in the same region can get together and drive to work with one car instead of each of them driving his or her own car .
This is a very common argument nowadays .
Hiring a minibus is an other alternative way to decrease the car amount on the roads .
In today 's world people are more aware and conscious about the nature .
"
11758,1935920.txt,P6,ZHO,medium,"Some people prefer to arrange a travel by themselves , while others like to join a group led by a tour guide .
I am incline to the later way , becuase a tour guide provides many advantages to me .

First of all , I like to visit a place that I have never been there before .
It will cost a lot of time and energy to arrange a travel .
People have to fingure out how to get to the place they want to , the transportation tools and fairs .
Although , the E-business system provides many ways to book air tickets , hotels , and other necessary facters to modern travelers , it still costs time .
After experience stressful time in workplace , many people do not want to spend a lot of time on exploring tickets on the Internet .
A tour guide arranges every thing of the travel for the members of group .
People just pick up a travel agency , select a travel package , and then pay money .
They will reveive a document which describes the detailed arrangement about this tour .

Second , a tour guide knows more about the place than anyone else in his group , because he is professional agency .
He has led a travel group from many times before take you to the place .
He is trained to know everything for that place .
He can intruduce the history of an ancient building in a vivid way , and tell travelors many intestresing stories that can not be found in a tour guide book .
He learn where is the most valuable place that people can not miss , hence a tour guide can make a proper schedule and spare enough time for that stop .
He also watch the time and takes care of transportation ; therefore , people do not need to look at the train schedule time and time again to make sure that they could catch an right train .

Finally , joining a group led by a tour guide is a way to make friends in travel .
A travel group consiste of people with vary backgrounds .
To talk to unknown people in one 's group allows people to learn many intestresing thing that they can not know if they travel alone .

In conclusion , I believe that join a travel group led by a tour guide is a better way than travel alone because it easy , cost saving , and more fun .
"
520,95152.txt,P4,ITA,medium,"When we turn on the TV , or the radio , or when we read a newspaper we can see or listen to or read a lot of advertisement .
The advertisement is the process that show a product and try to convince people to buy it .
Mass media are full of advertisement , sometimes we can say that mass-media are maintained by advertisement ( a factory can spend a lot of money to buy spaces on tv , newspaper etc . ) .
Expecially from the 80's / 90's spot 's campaign became very very important to promote products ...
there are factories that spend a lot of money to study how a spot can influence the mind of the people , and how the spot can be an advantage for the selling of the specific product .
The phrase that i 've red is about that most advertisement make products seem much better than tey really are .
I completely agree with this statement .
As i said before , in these last years the promotion of the products became obsessive .
A lot of products , in tv for examples , are shown like the `` PERFECT PRODUCT '' : they are clean , positive , beautiful and expecially VERY VERY attractive .
When i was a little child i remember that i 've seen a spot about a game , i do n't remember the name , but this is not important .
The game was a plastic man with a lot of blades , cars , guns , enemies ...
When i saw this spot i praid my mother for a lot of time to buy me this game , and when she bought it i was really impressed .
The man was smaller , poorer ...
there was only 1 blade and not all the guns that were shown in the spot .
The problem of the spots is not about childs ' games , but is about the lies that are inside of it .
You can lie about a game it does n't matter , but you cannot lie for example about a food , about something that can cause dangers to a person ( like mcdonald 's for example , if you have seen the film `` Supersize Me '' you 'll understand this ) ...
Now i do n't pay attention to the spots , ` cause i know that they lie a lot ...
but all people do this ?
Or i take part to a minimum percentage of people that does n't seem to pay attention to the advertisement ?
As i said before advertisement are really strong and can conditionate the decision of the people ...
and this is a factor that ca n't be left behind .
"
5104,888168.txt,P5,FRA,high,"To evaluate what will happen in twenty years is a difficult task .
One question is to know if there will be more cars or not .
First we will consider the arguments given to predict a reduction in the number of cars , then the evolutions that indicate a rise in this number .

Nowadays the price of petroleum is in a constant rise .
As the oil reserves are getting smaller and smaller , a oil crisis is predicted in less than twenty years .
So using a car will become more and more expensive .
Maybe people will try to use it less , which means a reduction in the number of cars .

Moreover as the center of cities are now overcrowded , the policie is to reduce the number of cars in cities .
Laws are enforced to limit this number , as for instance in London where you have to pay to use your car inside the city , or in Paris where new public transports are being built .

In twenty years we can assum there will be new and more efficient public transport wich will make car no longer a necessity for people .

Nevertheless I do n't believe in that evolution .
Even if there will be no enought oil to sustain the developpement of cars , other sources of energy now exist and will be developped .
Using biologically made oil , or electricity we will still be able to run cars .

Moreover , if we focus on the developpement of cities , we observe that car is a nessecity if you live in the suburb of a big city .
As ore people will live in suburbs than now , we can guess public transports , even if they evolve , will not be sufficient .

Last point is the developpement of China and India .
Even if there a proportionnally less peple who will buy a car in developped countries , when this two countries will be developped there will be a new market of more than two billiard people !

In conclusion even if argumets can be given to justifie there will be less cars than today , I think there will be ; ore cars .
"
4656,810302.txt,P1,TEL,high,"Science , for that matter any other field of study , have been broadly classified in to many subjects .
Its important for everone to have a basic knowledge of all these subjects but I think its better to specialize in one specific subject .

Concentrating on a wide range of subjects creates a lot of problems .
Firstly , the individual may not be able to find ample time to devote to each subject .
Secondly , the reader may retain far less than what is required because the details of the mix of all subjects might be really confusing .

We always find that people who make their decisions early and act promptly and concentrate in a particular area of interest turn out to be high performers or high end achievers contributing a lot towards the development of society .
Dr. A.P.J
Abdul Kalam , The President of India can be quoted as a very relevant example in this context .
Dr. Kalam identified very early that his interest lies in the area of space science and technology and started working on it from his senior seondary school itself .
We all know that he had always been a towering figure in the evolution of Indian space programme ever since he joined the Indian Space Research Organization .
He can be a real role model to the young students .

I do feel that an exposure to all the subjects is essential for a student to make the right choice .
It also gives him the confidence to tackle new situations and to effectively put forward a new idea before the general public .
But ultimately one should try to become a specialist in any field of his interest .
In this society I feel one should be a specialist in the field he or she is working to make the other people listen their voice .
It also generates a sense of belief among them over the things he or she is telling them .
I feel its always better to be a master in one field rather than a jack of all .
"
9107,1449783.txt,P4,ARA,low,"Advertisements alwasys trying to make you `` when i said you it is mean people '' looke at the product from another side the best side .
This is there responsibilty and it is there job to market their products .
They are spending fourtune on Televission , Radio and posters .

In my openion I thought before that they are steeling from us by convencing our children in a product i am not interested in .
But by the time I have read and understand that this is bussiness and this is how it worked .
it has some advantages and dis advatages .

Although it brought to us the very new technology , and , it help us by using all of the facilities , but in my openion I think it is wasting for our money and sometimes it is not like what we see in the Televession .

Now aday if you opened the Televission you will spend muct time watching those products .
Even so if you go to the movie theator you will waste so much time watching those products and you were paying to watch it .

In conclussion if I had acompany I would do the same thing because people allways do not have the time to think or to try those things , they would say if it does'nt work well it would not matter because it was cheap or if I am going to returne it I would waste time .
If all of families were well knoledgable those thing will not appeare .
"
7913,1218175.txt,P4,SPA,medium,"The publicity sells , and if you want that someone buy your product you will make a lot of things possibles so your products can be brought .
If your product is good or bad no one will know it until he or she prove it .

I agree with the statement because there is always a product that isnt good enough to the publicity it has and had been made for it .
But there is always a person that buy a lot of things or products even if she or he doesnt know exactly what it is or what it contain .

However if your product isnt good there will be someone that always buy it because it has something that the other product doesnt have .
An example , a man of thirty years doesnt know what to do because he have less hair everyday , he wake up and he have hair on the pillow then he wash his hair with all the care possibly but the hair is only going down more and more every day he prove all the products but neither function and then there is your product waiting for someone to buy it and it has a lot of publicity .
He has view it on t.v so he think why not im going to buy it so he buy it and the next week he have three more hairs and he is happy and he is now a new man .

However he doesnt realize that it has second reactions and his heart pulsations had been increasind the last three months that he had been using , but remember that he is a new man now because he have hair and its true he have a lot of hair now .
Now that he is a new man he start to run and he went out of his house and run and run but then he start to feel a pain a big pain in the arm so he stop and start to breath a lot but his breathing has been more difficult so he start breathing softly and softly and softly and is calm now .

So he walk to his house and went to the hospital and they said that he will suffer a heart attack and they dont know what is the cause and then he is thinking what it can be so he talk to the doctor and tell him that he is using a new product that allows him to have hair and the doctor saw him and said - you know what , you arent the first that came here for that .

There are a lot of products that seem to be much better than they really are but with that kind of plubicity we cant denied to buy it so we buy it and we tried it but we have to beware about what it is and what it has made of so we cant have that type of problem .
"
3562,619794.txt,P8,KOR,medium,"Most people are afraid to take risks or learn new things because they guess that it might fail .
However , I believe that try new things and taking risks is what makes a person a successful person .

It is good to have one thing that a person can do well .
However , when he or she learns about a new thing , they can relate what they have learned to what they already know .
In my school , our civics class do the chart called KWL chart .
It 's a chart listing what I already know , what I want to know , and what I have learned , which we filll out after the lesson .
When I take the lesson with a basic knowledge that I already know to learn a new thing , I can relate them afterwards and also , infer factors about the topic .
When someone only sticks to something that they know and how to do it , they will not succeed in society since they do not have broader knowledge than other people in the community .

I strongly believe that taking risks is a best way to succeed .
When people take risks and fail , they can fix what they 've done wrong , and get it right next time .
For example , Thomas Alva Edison had failed alot of times when inventing his light bulb , however , if kept on trying and finally made a light bulb that changed out lives .
If he had stick to the job as a railroad worker and not put his job on risk for what he wants to do , he would n't be called `` the wizard of the Menlo Park . ''

Taking risks can also being sure of what someone is doing .
If someone made decision , he or she should be proud of it and stick to it .
For example , the famous chairman of the Microsoft Bill Gates dropped out of college to start a new world that he wanted .
He did not drop out because he could not follow the courses , but he dropped out because he was sure that he could make this world different .
And by sticking to the decision he made and working hard to achieve his goal , he became successful and got what he wanted to get .
Even though he had the risk of not getting a successful job if he failed , but he came out successful because he stick to the decision he made .
if he just stayed in school like a normal student , our life would n't been very modernized as today .

Being successful is what moast people in the world aim for .
However , i believe that trying new things and taking risks makes a person successful such as Bill Gates and Thomas Edison rather than just doing only one thing that they are good at .
"
4638,807827.txt,P4,TUR,medium,"Although many advertisements try to make some products seem better , I do not agree with that they are succesfull .
Because the advertisements can not hide the reality .
Also people investigate the products with all details before buying them .
It is not very easy to make a product seem much better than they really are .
So it may cause some problems which customer complain about .

Some advertisements may illustrate that their pruducts have awesome results .
However , the truth can not be covered forever .
If you buy something which promise a good result , you may be disappointed .
Because you want to see the the results which they offer in their advertisement .
When you see the reality which is opposite , you will not suggest this product and it will cause to decrease the number of customers which may want to try it .

Also many people investigate the products before buying .
They read the comments which are about the products and they want to see some formal certificates which guarantee claims of products .
So they do not believe easily to advertisements .
After they finish their searchings about the products , they pay money for the products .

The advertisements are used for informing people about new products and technologies .
If advertisements do not reflect the realities , it can cause some problems .
It can decrease the reputation of products .
So the companies get difficulties to increase their profits .

I believe that most people agree with me .
Since life gets harder and more expensive , People think second time before buying .
So the advertisements can not be very efficient if they try to make the products much better .
"
3230,559999.txt,P8,FRA,medium,"Since you are a child , your parents , and other facors , teach how do well in your work , or in an activity .
When people grow up , they choose and follow their own way , which can be differents of that way that their parents teach them .
Some successfull person try new things and take risks , rather than other person only doing what they already know how to do well .
I agree with this statement .
People are influence by the money , the own personality .

First , the money has an important impact on someone 's behavior .
The money drives the people crazy .
Nowadays , the money represents the only thing that make people happy , relax and safe .
It means that successful people , people which have a good job and earn money , can try new things , take risks , and have novel experiences .
THey are safe and can pay for the new activities they want to try , or can take risk to play to Casino , for instance , because they are sure to have money after have lost .
It is the same way in the work .
They can take risks because they are succesful and have money .
If they make a mistake , they do n't worry because they have money so they are safe .
However , a person who are no successful and also not very rich ; this person ca n't do what she wants to do , try new things , or just take risks .
It means that all these three facts represent a risk or have to be due to a long reflection .
People without money do n't have choice .
THey do what they already know howdo well , in the aim to be safe and take risks .
For instance , a successful person wants to try something new such as rock climbing .
It is not a probem for her .
In contrary , a person without money ca n't wake up a morning and say she wants to try this activity .
SHe does n't have money to spend in that .
She has to work for that .
It means omly doe what she already know how to do .

Secondly , the personality of each person have a huge influence .
SOme people wants to enjoy the life , everytime , rather than other prefer just follow the cheep 's group , and do what their parents teach them .
After , there are the person who are afraid to take risks or try new things .
They are scared to pass away from the everyday life , and they are simply afraid of what they do n't know .
FOr instance , the person succesful are generally the person narrow-minded , extravageant , who express themselves and want to enjoy the life in every minutes whatever the risks .
In contrary , i remember than when i was fifteen years old i was scared of what i did n't know .
I did n't know it so i did n't if it was risky , good or bad .
ALso , i was afraid if my parents were agree or like this or this new things .
I just simply do what i know do well .

TO conclude , successful people try new things and take risks rather than only doing what they already know how to do well .
It enjoy the life , become independant , and live iyour own life in your own view of the world .
THe life its to short to do n't be ex
"
7429,1153626.txt,P6,SPA,high,"WHEN YOU TRAVEL IN A GROUP LED BY A TOUR GUIDE YOU WILL KNOW THE MOST COMMON PLACES THAT ARE IMPORTANT AND FAMILIAR FOR MOST OF PEOPLE .
THIS WAY OF TRAVELING HAS MANY ADVANTAGES BECAUSE YOU HAVE ALL THINGS PLANNED AND YOU DONT HAVE TO THINK ON SOLVING CERTAIN PROBLEMS THAT YOU COULD HAVE WHEN TRAVELING , LIKE FOOD , HOTEL AND TRANSPORTATION TO ALL PLACES YOU WANT TO SEE .
IF YOU HAVE TO GET TICKETS FOR AN IMPORTANT EVENT OR SHOW YOU WIILL NOT HAVE ANY PROBLEMS TO GET THEM .
BESIDES , YOU ARE SPENDING YOU TIME WITH OTHERS AND YOU WILL BE SAFE IN CASE OF VISITING A DANGEROUS COUNTRY .
IN ADDITION , YOU WILL HAVE SPECIFIC TIMES FOR EVERY ACTIVITY YOU DECIDE TO TAKE AND THE WARRANTY THAT YOU HAVE A SAFE SPACE IN EVERY TRANSPORT YOU NEED TO TAKE .
THOSE ARE THE GOOD REASONS YOU HAVE FOR TRAVELING IN A TOUR GUIDE .

IN MY CASE I CONSIDER THE BEST WAY TO TRAVEL IS WHEN YOU DO IT BY YOURSELF AND YOU PLAN ALL PLACES YOU WANT TO VISIT AND THE TIMES YOU LIKE TO SPEND ON EVERY ONE .
I DO NOT LIKE TO BE TIED TO OTHERS LIKE WHEN YOU HAVE TO BE AT SPECIFIC TIME AT A CERTAIN PLACE BECAUSE I THINK IT IS BETTER WHEN YOU ARE SPONTANEOUS AND YOU ACT UNDER THE CIRCUMSTANCES .
FOR EXAMPLE WHEN YOU GOT A PLACE THAT YOU REALLY LIKED IF YOU WERE IN A GROUP YOU HAVE TO DO WHAT MOST OF THE GROUP WANT AND YOU ARE NOT FREE TO DECIDE WHAT YOU WANT TO .
WHEN VISITING A DIFFERENT COUNTRY THE BEST WAY OF KNOWING IT IS BY GOING TO MANY PLACES AND NOT ONLY TO VISIT THE MOST POPULAR ONES .
IF YOU WANT TO KNOW THE REAL FOOD , THE ACTUAL ECONOMICAL SITUATION AND THE MOST IMPORTANT PART , THE PEOPLE , YOU SHOULD GO TO COMMON PLACES NOT FOR THE TOURISTS BUT FOR THE PEOPLE THAT LIVE IN THE COUNTRY .
IF YOU WANT TO LEARN OR PRACTICE THE LANGUAGE YOU SHOULD GO TO PLACES WHERE THERE IS NO HELPING PEOPLE TO DO THE THINGS AND SPEAK FOR YOU IN CASE OF NEEDING IT .

IN A WORD , I AGREE THE BEST WAY OF TRAVELING IS WHEN YOU DO IT BY YOURSELF AND DO THE THINGS YOU WANT TO WITHOUT CONSIDERING ASKING OTHER PEOPLE AND VISITING ONLY THE POPULAR PLACES THAT YOU WILL NOT KNOW VERY WELL BECAUSE OF TIME AND PEOPLE YOU ARE TRAVELING WITH .
I DO NOT LIKE TOUR GUIDES .
"
3196,554177.txt,P3,ARA,medium,"some people think that Young people nowadays do not give time to help their communities .
Others , on conturary , think the opposite .

from the daily life point of view , Young people are intersted in having fun with all the means of intertainment that are brought to us almost every day and changed our everyday life .
Music , computers , internet are one of these means .
When we think about the limited activities that Young people can do in the past , they had to keep themselves busy with things even if it requires some effort .

Not all Young people are not interested in helping their communities .
In fact , I know many organizations that are created by students , and only involves students .

But older people need to guid young people to do community sevices .
since their only interest is on getting good grades at school and making a lot of friends .
They need to understand the young people 's thinking , and creat cummunity sevices for them through schools clubs .
because they know they have other things to do for themselves instead of doing for the community for example , school work .
In additions , new organisations are created every day and the government gave more interest to the community in general .
For example , every street have wokers that take care of it such as firefighter , trash cleaner , and hospitals .

so they give enough time to he
"
2661,459968.txt,P2,JPN,medium,"Surely I admit that young people apt to have more power to enjoy their lives and left more time .
However I insist that olded poeple enjoy life more than young poeple .
There are two reasons for this .
They have more experiences and money .

First , older people have learned how to enjoy life from their longer period of life .
They , of corse , have experiences of love with girl/boyfireinds , which sometimes include faiure to success .
Older people should know how to belong with their partner .
For example , my farther who have many girlfriend before marriage , now , has very good time with my mother because he can lead the partnership effectively and can solve probelms easily .
Sometimes they go to travel togethet .
They look so enjoyful for their life Second , since many older people have earned the salarys in companies or their own shop , they tend to have far more money than young peole have , who have not worked yet or have just had a job .
Avarage revenue of business people after working 30-40 yeas in Japan no less than 500 dollars .
While almost 0 or someone have debt among young people in particula for students .
It make older Moreover after retiring their firm oleder pople have pention .
people spend money as they like .
Actually many older retired like topeople consume toys for their grandsons with their pleasure .

As these reasons it is apparently true that older people enjoy life far more than young peole .
Their long-term knowleade and the outcome of their effort in in the wrok places bring them to happy `` second life '' with their partner and cute garandsons .
"
